Active learning?;;Decide which images to label next;
Reshape a PyTorch tensor?;;-1 can be inferred from other dimensions.;tensor.view((-1, 1))
RGAN?;;Recurrent GAN, generates time series data w labels (trained early warning system on EHRs from ICUs). Models could train on 100% synthetic data, still generalize well (kinda like ImageNet), no privacy concerns, almost the same performance.;
Save/load a tensor to a file?;;;torch.save(X, 'temp.pt')<br>Y = torch.load('temp.pt')
Set all values in a tensor with 10s?;;;X.fill_(10)
Shoehorning an unsupervised problem into a large supervised one is half the magic. Then it's data science, model architecture, and good luck.  Some problems can't ever really be captured as supervised, tho - in those cases, DL probably isn't the answer.;;;
Singular matrix?;;Square, linearly dependent columns (det = 0). Singular because it's the only kind of matrix without an inverse!;
Singular value decomposition?;;UDVᵀ<br>A decomp that exists for all real matrices, helpful for computing inverses.<br>U: left-singular vectors<br>D: singular values across diagonal<br>V: right-singular vectors;
sklearn.neighbors: NearestNeighbors vs LSHForest?;;Exact NN (n^2) vs approximate NN (nlog(n)) - locality sensitive hashing forests.;
Softmax?;;Translate numbers into "probabilities". Invariant to bias.;e^X/e^X.sum()
Span?;;By scaling your vectors, how many points in a space can you touch? All of them, or less dimensions than that?;
Specify optimization params on a per-layer basis?;;Pass a list of dicts to optimizer factory: 'params' is list of params, other kwargs are individual settings, like lr.;
Split a tensor into 5 pieces along a dimension?;;tensor, chunks, dim;torch.chunk(X, 5, 2)
Stochastic gradient descent vs gradient descent?;;Gradient descent: compute gradient for entire set.<br>Stochastic: approximate that gradient by selecting a random batch.;
Style target for style transfer?;;Gram matrix of image channels. Somehow removes location info, preserves texture info;
Superpixels?;;Image segmentation<br>Hierarchical regions of similar color intensity. Follow natural contours of image.;
Synthetic EHRs: name, pros and cons?;;medGAN. Generally indistinguishable except for outliers (prostate cancer (male) + menopausal disorder in same record - could be weeded out with domain-specific rules). Great for avoiding privacy concerns.;
The difference between unsupervised learning that works (e.g. language models) and unsupervised learning that doesn’t is generally about predicting the causal future (next word, next frame) instead of the present (autoencoding).;;;
What are some problems with training in the real world, according to Yann Lecun?;;(1) you can't run it faster than real time, (2) you can't back-propagate gradients through it, (3) any action you take can hurt or kill you.;
Torch equivalent of boolean indexing?;;;mask = X.gt(5)<br>X.masked_select(mask)
Training object class detectors with click supervision?;;Weakly supervised object localization: you click middle, it draws bbox. Big speedup;
U-Net?;;Biomedical image segmentation that's fast and requires <30 examples. U-shaped architecture max-pools then deconvs. Use lots of biomedical-specific data aug (warping, fuzzy membranes). Foreground/background class.;
Useful properties of eigendecomposition?;;If any eigenvalues are 0, matrix is singular.<br>Useful for PCA - you can rank eigenvectors by eigenvalues, throw away the rest.;
Variable: requires_grad?;;Default False (?) except for pretrained models. Turn off for all variables to disable computing gradients in a subtree of your graph.;
Variable: volatile?;;Similar to require_grad, but only a single volatile var is needed to turn off gradients/intermediate states for all connected operations.;
Weak supervision?;;Use clues.;
WGAN?;;Wasserstein GAN. Original GANs used JS divergence for loss, but this isn't defined everywhere.<br>WGANs use Earth Mover distance: continuous, but intractable. So approximate it with another NN.<br>Jan 2017.;
What are norms?;;Ways to measure the size of vectors (length from origin);
What can the eigendecomposition of a Hessian tell us?;;The directions and scale of the second derivatives of a function.<br>Positive/negative definite: we're at local minima/maxima.<br>Mixed sign eigenvalues: saddle points.<br>Any zeros: inconclusive.;If our fn has a poorly conditioned Hessian, that tells us that one dimension is changing quickly, and that we should chase in that direction instead of following the steepest first derivative. Imagine standing high on a canyon walls going down a mountain: 1st order with too high a learning rate could zig-zag you across the canyon, 2nd order takes you down the mountain directly.
What data structure does autograd use to build up state during forwards and backwards passes?;;Forward pass: every Variable with a grad_fn is a leaf in a DAG, they're joined until we get to the root which is the output. Backwards pass happens in reverse. Graph built at every iteration, enabling us to change shape of graph dynamically.;
What is a classification loss function that penalizes overconfidence?;;Log loss, AKA logistic loss or cross-entropy loss.;
When do matrices have eigendecompositions?;;When they're diagonalizable (similar to a diagonal matrix);
When does an output require gradient?;;When 1 or more of its inputs require gradient.;
When is the span of two vectors *not* any point on their plane?;;When aligned: you'd only be able to reach points on a single line. Also, when they're both zero.;
When should you use an L1 over an L2?;;;
Why are autoencoders a Bad Idea for unsupervised learning?;;Because they learn to predict the present.<br>Real unsupervised learning happens when you use causal prediction as the supervisory signal (predict next word, next frame) (LSTMs)<br>See: language modeling, autoregressive image generators (PixelRNN) that produce sharper images than non-autoregressive VAEs;
Why are sparse matrices good for performance?;;Can skip multiply/add by zero<br>Way smaller;
Why do we say that matrix columns represent vectors?;;So that matrices represent transforms, and X @ x multiplication represents result of linear transformation on x.<br>Once you start thinking of square matrices as transformations of space, so many concepts get easier: matmul, determinants, eigenv's.;
Why do word embeddings work by counting context words?;;Because the meaning of "club" in "a ___ walked into a club" depends on if ___ is "DJ" or "baby seal".;
Why is it convenient and fast to use the square L2 norm?;;Squared L2 can be computed with X.T @ X<br>Derivatives with respect to each x only require x, whereas L2 norm derivs require whole vector.;
Why is it cool to generate synthetic segmentation masks and then convert them to images?;;In healthcare settings, training on this synthetic data can sidestep privacy concerns. Performance is on par: 1% difference in F1 score. Dual Generative Adversarial Networks.;
Why is it cool to know the "rank" of a matrix?;;Because that's how many dimensions the matrix's column vectors span - AKA, the # of linearly independent vectors of the matrix.;
Ridge vs Lasso vs ElasticNet?;;Lasso has L1 penalty (imposes sparsity), Ridge has L2 penalty (limits size of coefficients), ElasticNet is a mix of the two.;
Ridge vs Lasso behavior w highly correlated variables?;;Ridge shrinks them towards each other, Lasso is ""indifferent"" and picks one;
Ridge vs Lasso with one powerful predictor?;;Ridge (L2) will shrink it more than Lasso (L1).;
PCA vs SVD?;;PCA is eigendecomp, so it has to square matrices first, which means it can't use sparse matrices efficiently.<br>SVD: no need to center matrices first.;
How do you concat two DataFrames?;;axis: 0 for rows, 1 for columns.<br>Join: how to join the other axis(es).;pd.concat(dfs, axis, join={'outer','inner'})
Concat three dataframes into a hierarchical index, where each dataframe has a different outermost key.;;;pd.concat(dfs, keys=['a', 'b', 'c'])
Why is building or combining DataFrames expensive?;;Because concat (and therefore append, merge, join) make full copies of the data by default.;
DataFrames: axis 1 vs axis 0?;;0 = index, 1 = columns.;
Select a row in a DataFrame?;;;df[df['Column Name'] == 0]
Best way to add a column to a dataframe?;;;df[col] = column
What is a p-value?;;It's the chance that the null hypothesis would have produced a better result than this. So a very tiny chance means that you can reject the null hypothesis.;
Horizontal barchart?;;sns.barplot(data, orient='h');
Bias vs variance of an estimator?;;Bias is average error for varying training sets, variance is how sensitive it is to varying training sets;
