Relation vs Table	Relations are tables that connect other tables.
Output results of future queries into female_students.txt	.output female_students.txt<div>.output stdout to revert</div>
Fix this code:<div><div>WHERE COUNT(*) &gt; 2</div></div>	"<div><span style=""line-height: 1.1;"">HAVING COUNT(*) &gt; 2</span><br></div>"
Group records together who have matching fields (more than one)	GROUP BY voter_id, politician_id
Delete entries?	DELETE FROM ___<div>WHERE ...</div>
Squash a few commits from the last 10 commits	git rebase -i HEAD~10
Discard local changes in a specific file	git checkout HEAD &lt;file&gt;
Revert a commit (by producing a new commit with contrary changes)	git revert &lt;commit&gt;
Reset HEAD pointer to a previous commit, and...<div>discard all changes since then</div>	git reset --hard &lt;commit&gt;
Reset HEAD pointer to a previous commit, and...<div>preserve all changes as unstaged changes</div>	git reset &lt;commit&gt;
Reset HEAD pointer to a previous commit, and...<div>preserve all uncommitted local changes</div>	git reset --keep &lt;commit&gt;
Merge branch into current HEAD	git merge &lt;branch&gt;
Should you ever 'pull'?	NO. Fetch, read the commits with log, and make a decision about how to incorporate those commits.
You're reading commits. You notice you have duplicated someone else's work. Solution?	<div>Reset --soft, on top of their remote branch.</div><div><br></div>git reset --soft origin/feature_x<div><br></div><div>Then rewrite your commits.</div>
Aaron wrote 4 commits, pushed them to feature_x first. My commits would sit cleanly under his. Cmd?	(fetch, log)<div>git rebase origin/feature_x</div>
Git is meant to track ____, not ____.	changes, history
DAG	direct and acyclic graph<div><br></div><div>DIRECT/ACYCLIC:</div><div>directional. children know parents. Parents don't know children.</div><div><br></div><div>GRAPH:<br><div>(graph: n parents, n children,</div><div>tree: 1 parent, n children,</div><div>list: 1 parent, 1 child)</div></div>
Git is NOT a sync tool, NOT a backup tool. Git is an ______	editor for changes.
Return value of bash commands?	<div>echo $?</div>0 (truthy) or any other number (error status code)
What should your first 3 commits be?	1: generated code<div>2: README with Job To Be Done</div><div>3: dependencies.</div>
What does the -- argument mean?	Everything after me is a filename
Show remotes (am I connected to Heroku?)	remote show
"                              <p style=""margin-bottom: 0in"">To re-add a deleted commit?</p>"	reflog, hard 1a81dc9
Unix process model: 3 inputs	ARGV [strg]<div>STDIN &lt;Rstr&gt; (like a cable)</div><div>ENV { } (string keys string values)</div>
Unix process model: 3 outputs	STDOUT &lt;Wstr&gt;<div>STDERR &lt;Wstr&gt;</div><div>EXIT CODE</div>
STDOUT vs STDERR: differences?	STDOUT is a stream designed for another program (like an API)<div>STDERR is a stream designed for any IO device</div>
curl: -i?	i = include the header in the output
curl -v?	verbose. Good for debugging. &nbsp;Things are tagged with *, &gt;, or &lt;
<div>what's the problem?</div>SELECT TenantName FROM Tenants<div>GROUP BY TenantID</div>	You can't GROUP BY a field you haven't selected.
When are relations created?	After the SELECT and the WHERE. &nbsp;This is why you can filter a table with WHERE without selecting that field.
HAVING vs WHERE	Filters an existing relation after it's been created and GROUP BY'd<div>WHERE filters a table before it's created.</div>
Refactor:&nbsp;<div>cat text | some-command arg1 arg2</div>	some-command arg1 arg2 &lt; text
What activities might take a long time and block an event loop?	file access<div>network communication</div><div>database operations</div>
Define non-blocking architecture	Any potentially blocking activity is requested and put aside immediately, freeing the event loop (a server could handle other requests, for example)<div>When the results are ready, they're returned via callback function</div>
What is currying?	Using bind to create a delegating function with a fixed subset of the required arguments.
Arguments to Object.create()	1 prototype link<div>2 property descriptor map</div>
Create an empty object without a prototype	Object.create(null)
What should I watch out for when omitting semicolons?	Be careful: if the next line starts with + - [ ( or / no semicolon is inferred.<div>Especially common: (</div>
What is a closure?	A function that keeps track of variables defined in its containing scope.
How can closures update the values of their outer variables?	Because they store references to their outer variables instead of copying their values.
What is the difference internally between regular functions and closures?	Closures actually internally&nbsp;store references to variables they may refer to later.
What is the one exception to JS' lack of block scoping?	try...catch blocks. &nbsp;JS binds a caught exception to a variable that is scoped just to the catch block.
Define: the receiver of a function.	<div>1 The receiver is determined by the call expression.</div>2 The receiver becomes the value of `this`.<div>obj.sup(): looks up the sup property of obj and calls with receiver obj.</div>
How does a constructor call differ from function and method calls?	The receiver is an empty object<div>This object is implicitly returned.</div>
What is a higher order function?	A function that takes other functions as arguments or returns functions.<div>Lots of good examples with Arrays: map, filter, etc.</div>
Create a new object whose prototype is pie	var newPie = Object.create(pie)<div>Watch out for local variables on __proto__ instead of on instances</div>
Can `this` be used in an object literal?	No. &nbsp;Object literal: colon separated key value pairs, separated by commas
Define arity	The number of arguments a function expects.<div>Variable-arity functions = variadic functions</div>
Arguments to reduce?	reduce: callback, initialValue<div>callback: previousValue, currentValue, Index, array</div><div>If initialValue is left out, first value of array is used instead, and currentValue = 2nd element.</div><div></div>
Test to see if every array element returns true.	every(callback [, thisObject ])<div>callback takes: element, index, array<br /><div>Not invoked for deleted indexes or indexes never assigned values</div><div>Returns true for empty arrays</div></div>
in vs hasOwnProperty	<div>Both check to see if an object has a property.</div>in (keyword): checks inherited properties<div>hasOwnProperty (method): doesn't check inherited properties</div>
test vs search	test is a RegExp method - returns true or false<div>search is a String method - returns index or -1</div>
"Using String#replace and special replacement patterns, reverse the words in ""This string"""	"""this string"".replace(/(\w+)\s(\w+)/, ""$2, $1"")"
What are the JavaScript primitive types?	Number String Boolean Object Function Null Undefined
How do you read and write files in JS?	This isn't possible in client-side JS. &nbsp;Browser security feature: no access to filesystem.
Copy an array.	use slice() with no arguments.
What is event bubbling?	A behavior of events in the DOM. &nbsp;All events are passed up the DOM through parent nodes.<div>This is useful because instead of placing 20 individual listeners on various &lt;a&gt;'s throughout the page, you can just place one on a node higher up than those 20 elements and it will events from every &lt;a&gt;.</div>
Cnstr.prototype === Object.getPrototypeOf(____)	new Cnstr()
__proto__ vs prototype	__proto__: unconventional way to grab prototype of an object<div>C.prototype: defines prototype for objects created by new C()</div>
Create an object that inherits from function User() {}, using Object.create	var user = Object.create(User.prototype)
Get the properties of an object.	<div><b>Returns array:</b></div><div>Object.keys(obj)</div>Object.getOwnPropertyNames(obj)<div><br /></div><div><b>Passes to function:</b></div><div>for (var p in obj) { ... }</div>
When does JavaScript pass by value, and when does it pass by reference?	<div>Primitives are passed by value</div><div>Objects (and arrays) are passed by reference.</div><div><br /></div><div>(Well, everything is a value, but for objects/arrays, that value is a reference.)</div>
Pass an array of args to function average()	average.apply(null, args)
Accept any number of arguments to function average()	function average() {<div>&nbsp; for (... arguments.length ...) { ... }<br /><div>}</div></div>
Use Mac's spotlight to search the system	mdfind
Go to file in Finder	cmd-shift-g
<div>Pass file f into program's STDIN</div>	program &lt; f
Program that numerically sorts	sort -n (for numeric)
sed -e: syntax?	command/thing to find/thing to replace/flags<div>useful command: s (substitute)</div>
Remove consecutive identical lines, or show only duplicated lines	uniq<div>-d shows only the duplicated lines</div>
Kill several processes simultaneously	kill -9 pid pid pid
Test to see if a site is up	ping
Test to see if port 9001 is open	lsof -i :9001<div>(list open files, matching address specified by i, port number counts as one address)</div>
Clean untracked files from working copy in git?	<div>git clean --dry-run</div><div>git clean -fd (force, directories)</div>
Download a file to current directory (possibly, a raw Git file)	curl -O &lt;url&gt;
Show the contents of a gem in your Gemfile	bundle open ${gem}
Use a DNS lookup to find the IP address associated with a domain name.	dig www.google.com<div><br /><div>(if you're a pansy you can use nslookup or host)</div></div>
What is a reverse DNS lookup, and how would you do one?	"<div>""What is the domain name associated with this IP address?""</div><div><br /></div><div>Sometimes IP addresses don't have a domain name - you'd be able to access them only if you knew their IP address.</div><div><br /></div><div>Can get some info with WHOIS.</div>"
What is WHOIS?	A protocol for asking about ICANN registration information for an IP, domain, or autonomous system. Might include contact info, domain names, abuse info.
What is the difference between:<div><br /><div>drwx------</div><div>lrwx------</div><div>-rwx------</div></div>	the first is a directory<div>the second is a symbolic link</div><div>the third is a flat file.</div>
<div>Which files are changed?</div><div><br /></div><div>chmod 600 ~/symlink</div><div>chmod -h 600 ~/symlink</div><div>chmod -R 600 ~/</div><div>chmod 600 ~/*</div>	<div>1. the symlink target</div><div>2. the symlink itself</div><div>3. everything in ~/ except the symlink</div><div>4. the symlink target</div><div><br /></div><div>chmod changes the target file for every symlink listed</div><div>chmod ignores symlinks during recursive directory travel</div><div>chmod -h changes the link itself.</div>
Grab a file from an ssh server?	scp (secure copy)
Become superuser, keep your configuration files.	sudo -s
Step one line in ipdb	s(tep)
What is an upper-tier ISP?	ISPs that provide access to end systems must also be interconnected. Examples: Level 3 Communications, AT&amp;T, Sprint
What is the first packet switch in a wireless LAN called?	Access Point
What are the benefits of radio channels carrying signals in the electromagnetic spectrum?	They can penetrate walls and potentially travel long distances
What do Bluetooth, WiFi, and cellular networks have in common?	They all rely on radio waves (of various wavelengths)
What is a queueing delay?	Most packet switches use store-and-forward transmission at their inbound links, necessitating temporary storage of packets. Queueing delay occurs when an outgoing link is already busy transmitting other packets in an outgoing link queue.
How does a router map destination addresses (or portions thereof) to its outgoing links?	With a forwarding table.
What is ISP peering?	ISPs pay their upstream providers based on traffic. To save costs, they sometimes join their networks together directly. IXPs (Internet Exchange Points) are meeting points where multiple ISPs can peer.
At each node along a path, a packet suffers delays. What are the 4 most important kind of delays?	Nodal processing - examine headers, decide where to send it<div>Queueing - before transmitting on to a link</div><div>Transmission - link transmission rate / packet size</div><div>Propagation - propagation speed of the link</div>
When might transmission delay be a factor?	When broadcasting a large packet over a low transmission rate link it could be in the 100s of milliseconds. Typically negligible for transmission rates of 10+ Mbps.
When can propagation delay be a factor?	It can be 100s of milliseconds for two routers connected by geostationary satellite link. For routers in the same access network it'll be negligible - a couple microseconds.
Why is processing delay important?	It's negligible for an individual packet, but strongly influences a routers max throughput.
What is the formula for traffic intensity?	La/R<div>L = size of each packet in bits</div><div>a = average packets/sec</div><div>R = transmission rate, bits/sec</div><div>Keep traffic intensity &lt; 1.</div>
Virus vs worm?	Virus requires user interaction to infect the device, worms don't. (user might be running vulnerable application in which attacker can just send malware)
Three types of DoS attacks?	Vulnerability attack - send the right messages to a vulnerable app, make the app or the host crash<div>Bandwidth flooding - send tons of packets, legit packets are dropped</div><div>Connection flooding - bog them down with bogus TCP connections, host stops accepting legit connections.</div>
Best defense against packet sniffing?	Cryptography
Best defense against attackers masquerading as someone a host trusts?	End-point authentication, which allows us to say with certainty who is sending us packets.
Inspect Python's import search path?	<div>import sys<br></div><div><div>sys.path</div></div>
Display the differences between an environment and Django's default settings	manage.py diffsettings
<div>How do you redirect STDERR to STDOUT?</div>	2&gt;&amp;1
2&gt;1 vs 2&gt;&amp;1?	<div>2&gt;1 redirects stderr in a file named 1</div><div>2&gt;&amp;1 redirects stderr to stdout</div><div>&amp; in the context of redirects means file descriptors. So &amp;1 is stdout.</div>
<div>How do you redirect both STDERR and STDOUT to a file?</div>	<div>(echo stdout; echo stderr 1&gt;&amp;2) &amp;&gt; file</div><div>OR:&nbsp;</div><div>tail &gt; file 2&amp;&gt;1</div>
How do you set the log level of Minerva's integration test suite to DEBUG?	scripts/integrate --verbosity 5
What are the four parts of Django's logging system?	Loggers, Handlers, Filters, Formatters
How do you create a timezone-aware datetime?	"<pre class=""default prettyprint prettyprinted"" style=""margin-top: 0px; margin-bottom: 1em; padding: 5px; border: 0px; font-size: 13px; overflow: auto; width: auto; max-height: 600px; font-family: Consolas, Menlo, Monaco, 'Lucida Console', 'Liberation Mono', 'DejaVu Sans Mono', 'Bitstream Vera Sans Mono', 'Courier New', monospace, sans-serif; color: rgb(57, 51, 24); word-wrap: normal; background-color: rgb(238, 238, 238);""><code style=""margin: 0px; padding: 0px; border: 0px; font-family: Consolas, Menlo, Monaco, 'Lucida Console', 'Liberation Mono', 'DejaVu Sans Mono', 'Bitstream Vera Sans Mono', 'Courier New', monospace, sans-serif; white-space: inherit;""><span class=""kwd"" style=""margin: 0px; padding: 0px; border: 0px; color: rgb(0, 0, 139);"">from</span><span class=""pln"" style=""margin: 0px; padding: 0px; border: 0px; color: rgb(0, 0, 0);""> django</span><span class=""pun"" style=""margin: 0px; padding: 0px; border: 0px; color: rgb(0, 0, 0);"">.</span><span class=""pln"" style=""margin: 0px; padding: 0px; border: 0px; color: rgb(0, 0, 0);"">utils </span><span class=""kwd"" style=""margin: 0px; padding: 0px; border: 0px; color: rgb(0, 0, 139);"">import</span><span class=""pln"" style=""margin: 0px; padding: 0px; border: 0px; color: rgb(0, 0, 0);""> timezone</span><span class=""pln"" style=""margin: 0px; padding: 0px; border: 0px; color: rgb(0, 0, 0);""> </span><span class=""pln"" style=""margin: 0px; padding: 0px; border: 0px; color: rgb(0, 0, 0);"">timezone</span><span class=""pun"" style=""margin: 0px; padding: 0px; border: 0px; color: rgb(0, 0, 0);"">.</span><span class=""pln"" style=""margin: 0px; padding: 0px; border: 0px; color: rgb(0, 0, 0);"">now</span><span class=""pun"" style=""margin: 0px; padding: 0px; border: 0px; color: rgb(0, 0, 0);"">()</span></code></pre>"
grep vs egrep vs zegrep?	grep: basic regex<div>egrep: extended regex</div><div>zegrep: egrep for files compressed with compress or gzip</div>
Access a background process?	To inspect jobs managed by the current shell:&nbsp;<div>jobs</div><div>fg 1</div>
Print the 4th column of some output	awk '{print $4}'<div><br></div><div>Single quotes prevent Bash expansion. {$4} is just ancient awk syntax.</div>
ps without flags?	All of your processes that have controlling terminals.
<div>Search file for occurences of `{` in file txt</div>	<div>egrep '{' txt</div><div>single quotes ensure that char is not evaluated by the shell, but instead by egrep.</div>
<div>egrep: context options?</div>	<div>-ABC</div><div>after-context, before-context, context</div>
<div>egrep: Exclude pattern?&nbsp;</div>	<div>-v (or --invert-match)</div>
<div>egrep: print line numbers?</div>	-n (or --line-number)
egrep: only search files matching X pattern?	<div>--include 'X'</div><div>Patterns are matched to full file path, not just filename component.</div><div>If a file matches include and exclude, exclude takes priority.</div>
egrep: only search directories matching filename pattern X?	<div>--include-dir 'X'</div><div>--exclude-dir patterns take priority</div>
awk: specify delimiting char?	<div>-F ':'</div><div>^ is a regex</div>
less: search for a pattern?	<div>/pattern</div><div>navigate from match to match:&nbsp;</div><div>n (forwards)&nbsp;</div><div>N (backwards)</div>
<div>ps: a?</div>	<div>All users' processes. Skips those processes without a controlling terminal.</div>
What are Django's five log levels?	DEBUG, INFO, WARN(ING), ERROR, CRITICAL
Less: jump to line #150? Open file at a line number?	<div>150g</div><div>less -N +150g today.log</div>
<div>Less: jump to 90% through the file? Open file at 90%?</div>	<div>90p</div><div>less +90p today.log</div>
<div>ps: u?</div>	Display usernames
ps: x?	Display processes without controlling terminals (things launched by Launchpad, for example)
ps: w?	wide (it just wraps)
ps: j?	jobs, pids
<div>What protocol layer is SSL?</div>	"Trick question, it's not a protocol, it's just two application-level decorator functions for the TCP socket API.<div><br></div><div><span style=""font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px;"">(Sending host pushes data into SSL's socket-like API. SSL encrypts and pushes into TCP socket API. Receiving host receives data from TCP socket, passes to SSL socket-like API, decrypts, passes to application.)</span><br></div>"
What are some features that TCP implements that UDP does not?	Congestion control, flow control, reliable data transfer
The simplest tool to perform a load testing	ab (Apache Benchmarking tool)<div><br /></div><div><div>Execute 100 HTTP GET requests to given URL.</div><div>ab -n 100 {url}</div><div><br /></div><div>Execute 100 HTTP GET requests, processing up to 10 requests concurrently, to given URL.</div><div>ab -n 100 -c 10 {url}</div></div>
Search in manpages for example to find a new command	apropos<div><br /></div><div><div>search for keyword without restricting output to terminal width</div><div>apropos -l {regular_expression}</div></div>
Print calendar information	cal<div><br></div><div>current month: cal</div><div>any year: cal 2016</div>
Cut fields or characters from STDIN	cut
gives an overview of the file system disk space usage	df<div><br></div><div><div>display all file systems and their disk usage in human readable form</div><div>df -h</div></div>
Compare files and directories	<div>diff</div><div><br /></div><div>Compare files</div><div>diff {file1} {file2}</div><div><br /></div><div>Compare files, ignoring white spaces</div><div>diff -w {file1} {file2}</div><div><br /></div><div>Compare files, showing differences side by side</div><div>diff -y {file1} {file2}</div><div><br /></div><div>Compare directories recursively</div><div>diff -r {directory1} {directory2}</div><div><br /></div><div>Compare directories, only showing the names of files that differ</div><div>diff -rq {directory1} {directory2}</div><div><br /></div>
DNS lookup utility	dig<div><br /></div><div><div>Lookup the IP(s) associated with a hostname (A records)</div><div>dig +short {hostname.com}</div><div><br /></div><div>Specify an alternate DNS server to query (8.8.8.8 is google's public DNS)</div><div>dig @8.8.8.8 {hostname.com}</div></div>
Finds duplicate files in a given set of directories	fdupes
Find files under the given directory tree, recursively	find<div><br /></div><div><div>find files by extension</div><div>find {root_path} -name {'*.py'}</div></div><div><br /></div><div><div>find files using case insensitive name matching, of a certain size</div><div>find {root_path} -size +500k -size -10MB -iname {'*.TaR.gZ'}</div></div><div><br /></div><div><div>find files modified since a certain time</div><div>find {root_path} -name {'*.py'} -mtime {-1d}</div></div>
List open files and corresponding processes	lsof<div><br /></div><div><div>find the process that opened a local internet port</div><div>lsof -i :{8080}</div></div>
Combined traceroute and ping tool	<div>mtr</div><div><br /></div><div>Traceroute to a host and continuously ping all intermediary hops</div><div>mtr {host}</div><div><br /></div><div>Disable IP address and host name mapping</div><div>mtr -n {host}</div><div><br /></div><div>Generate output after pinging each hop 10 times</div><div>mtr -w {host}</div><div><br /></div><div>Force IP IPv4 or IPV6</div><div>mtr -4 {host}</div>
Backup mysql database	<div>mysqldump {database_name} &gt; {filename.sql}</div>
Reads and writes TCP or UDP data	nc<div><br /></div><div><div>listen on a specified port</div><div>nc -l {port}</div><div><br /></div><div>connect to a certain port (you can then write to this port)</div><div>nc {ip_address} {port}</div><div><br /></div><div>serve a file<br /></div><div>cat somefile.txt | nc -l {port}</div><div><br /></div><div>receive a file</div><div>nc {ip_address} {port} &gt; somefile.txt</div></div>
Network exploration tool and security / port scanner	nmap<div><br /></div><div><div>scan open ports of a single host</div><div>nmap {192.168.0.1}</div><div><br /></div><div>discover hosts in the 192.168.0.X area (no port scan)</div></div><div>nmap -sn {ip address}</div>
<div>send ICMP ECHO_REQUEST packets to network hosts</div>	ping<div><br /></div><div><div>Ping host limiting the number of packages to be send to four</div><div>ping -c 4 {host}</div><div><br /></div><div>Ping host, waiting for 0.5 s between each request (default is 1 s)</div><div>ping -i 0.5 {host}</div><div><br /></div><div>Ping host without trying to lookup symbolic names for addresses</div><div>ping -n {host}</div></div>
Opens a connection to a Redis server	redis-cli
<div>Copies files between hosts on a network Works over a secure connection (SSH)</div>	scp
<div>Run replacements based on regular expressions</div>	sed<div><br /></div><div><div>replace all occurrences of a string in a file, and print the result</div><div>sed 's/{find}/{replace}/g' {filename}</div></div>
<div>Dump traffic on a network</div>	tcpdump<div><br /></div><div><div>capture the traffic from a specific interface, source, destination and port</div><div>tcpdump -i {eth0} src {192.168.1.1} dest {192.168.1.2} and port 80</div></div><div><br /></div><div><div>capture the traffic from or to a host</div><div>tcpdump host {www.example.com}</div></div>
<div>connect to a specified port of a host</div>	<div>telnet {ip_address} {port}</div>
<div>Change a file access and modification times (atime, mtime)</div>	touch<div><br /></div><div><div>Set the times on a file to those specified</div><div>touch -t 201412250801.59 {filename} touch -t {YYYYMMDDHHMM.SS} {filename}</div><div><br /></div><div>Set the times on a file to match those on second file</div><div>touch -r {filename2} {filename}</div></div>
<div>Print the route packets trace to network host</div>	traceroute {host}
A running process can keep a deleted file open. Which disk measuring utility will see actual usage?<br>	df!<div>du will no longer see a reference to the file in the dir tree.</div><div><br></div><div>df = reads the superblock, trusts it</div><div>du = reads each object, sums</div>
<div>Show or set the system's host name</div>	<div>Show current host name</div><div>hostname</div><div><br /></div><div>Set current host name</div><div>hostname {new_hostname}</div>
<div>Displays various networks related information such as open connections, open socket ports etc</div>	<div>List all ports</div><div>netstat -a</div><div><br></div><div>List all listening ports</div><div>netstat -l</div><div><br></div><div>List listening TCP ports</div><div>netstat -t</div><div><br></div><div>Display PID and program names for a specific port</div><div>netstat -p {PROTOCOL}</div>
<div>Place standard output in the clipboard</div>	pbcopy
<div>Send the contents of the clipboard to standard output</div>	pbpaste
Display dynamic real-time information about running processes	top<div><br></div><div><div>Get help about interactive commands</div><div>?</div></div>
Fetch a model data from Backbone, specifying that the backend use the serializer_action_classes.nested_for_seminar serializer.	model.fetch({ action: 'nested-for-seminar' })
What class properties belong on a ViewSet?	model<div>serializer_class</div><div>serializer_action_classes (added by Brian)</div><div>permission_classes</div>
What setting in a DefaultSerializer allows for inefficient nesting of models, and why is this important?	"<div>self.context[""allow_duplicates""] = True</div><div>Sometimes multiple models expect this thing to be nested. Preventing duplicates serializes them so that one the first gets the model nested.</div>"
List Django packages installed in your current environment?	pip list
Enter/exit a virtualenv?	<div>workon $VIRTUALENV</div><div>deactivate</div>
How can you recognize overfitting?	Training MSE is small, testing MSE is large.<div>Reduce the flexibility of your model.</div>
"<!--?xml version=""1.0"" encoding=""UTF-8"" standalone=""no""?-->  <span style=""font-family:'Helvetica Neue';font-size:14px;"">What is the difference between a Python module and a package?</span>"	"<!--?xml version=""1.0"" encoding=""UTF-8"" standalone=""no""?-->  <div style=""font-family:'Helvetica Neue';font-size:14px;"">Module: python file with functions (file) </div><div style=""font-family:'Helvetica Neue';font-size:14px;"">Package: directory with __init__.py, contians packages &amp; modules (dir)&nbsp;</div>"
"<!--?xml version=""1.0"" encoding=""UTF-8"" standalone=""no""?-->  <span style=""font-family:'Helvetica Neue';font-size:14px;"">Read all of the functions implemented by module `url`?</span>"	"<!--?xml version=""1.0"" encoding=""UTF-8"" standalone=""no""?-->  <span style=""font-family:'Helvetica Neue';font-size:14px;"">dir(url)</span>"
"<!--?xml version=""1.0"" encoding=""UTF-8"" standalone=""no""?-->  <span style=""font-family:'Helvetica Neue';font-size:14px;"">simplify this code with a list comprehension:</span>"	"<div>word_lengths = []</div><div>for word in words:</div><div>&nbsp; &nbsp; if word != ""the"":</div><div>&nbsp; &nbsp; &nbsp; &nbsp; word_lengths.append(len(word))</div>"		"word_lengths = [len(word) for word in words if word != ""the""]"
"<!--?xml version=""1.0"" encoding=""UTF-8"" standalone=""no""?-->  <span style=""font-family:'Helvetica Neue';font-size:14px;"">partial application in python?</span>"			<div>from functools import partial</div><div>partial(funcname, first_arg)</div>
"<!--?xml version=""1.0"" encoding=""UTF-8"" standalone=""no""?-->  <span style=""font-family:'Helvetica Neue';font-size:14px;"">How many layers of nesting does a decorator that takes arguments require?</span>"		"<!--?xml version=""1.0"" encoding=""UTF-8"" standalone=""no""?-->  <span style=""font-family:'Helvetica Neue';font-size:14px;"">3</span>"	<div>def outer_layer(takes_arguments):</div><div>&nbsp; &nbsp; &nbsp;def second_layer(old_function):</div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; def inner_layer(*args, **kwds):</div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;new_function_work</div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; return inner_layer</div><div>&nbsp; &nbsp; &nbsp;return second_layer</div>
IPython: list all variables + info			%whos
IPython: display environment vars			%env
Log from a Backbone view?		To console.log &amp; automatically annotate view name:	this.log
Format output, send to string			<div>#include &lt;stdio.h&gt;</div>sprintf(char *str, const char *format, ...)
